,Digi-Key Part Number,Manufacturer Part Number,Inductance,Tolerance,Current Rating (Amps),Current - Saturation,DC Resistance (DCR),Frequency - Self Resonant,Supplier Device Package,
(,732-1150-1-ND,744311150,1.5µH,±20%,11A,14A,6.6mOhm,72MHz,7040,"),"
(,732-1148-1-ND,744310200,2µH,±20%,6.5A,9A,14.2mOhm,58MHz,7030,"),"
(,732-3874-1-ND,744323120,1.2µH,±20%,12A,15A,6.6mOhm,59MHz,1030,"),"
(,732-3875-1-ND,744323150,1.5µH,±20%,12A,18A,6.6mOhm,43MHz,1030,"),"
(,732-1168-1-ND,744325240,2.4µH,±20%,14A,17A,4.75mOhm,67MHz,1050,"),"
(,732-3868-1-ND,744313330,3.3µH,±20%,12A,14A,8.1mOhm,30MHz,1335,"),"
(,732-3878-1-ND,744325780,7.8µH,±20%,8A,9.5A,13.6mOhm,23MHz,1050,"),"
(,732-2175-1-ND,74435571100,10µH,±20%,16.5A,18.5A,6.9mOhm,16MHz,1890,"),"
(,732-1128-1-ND,7443551470,4.7µH,±20%,13A,15A,7mOhm,30MHz,1365,"),"
(,732-1119-1-ND,7443550480,4.8µH,±20%,11A,13A,10.5mOhm,28MHz,1350,"),"
(,732-1140-1-ND,7443551131,13µH,±20%,10A,9A,11.2mOhm,14MHz,1365,"),"
(,732-3879-1-ND,7443550101,10µH,±20%,8.5A,10A,14.1mOhm,18MHz,1350,"),"
(,732-1123-1-ND,744355182,820nH,±20%,27A,35A,0.9mOhm,72MHz,1365,"),"
(,732-1116-1-ND,7443550140,1.4µH,±20%,22A,26A,2.4mOhm,60MHz,1350,"),"
(,732-1117-1-ND,7443550230,2.3µH,±20%,17.5A,17A,3.7mOhm,40MHz,1350,"),"
(,732-1120-1-ND,7443550600,6µH,±20%,9.5A,11.5A,13.5mOhm,22MHz,1350,"),"
(,732-2181-1-ND,744314760,7.6µH,±20%,4.2A,4.8A,30.2mOhm,48MHz,7050,"),"
(,732-3867-1-ND,744313220,2.2µH,±20%,14A,18A,5.7mOhm,40MHz,1335,"),"
(,732-6175-1-ND,744316068,680nH,±20%,12.75A,13.5A,4mOhm,253MHz,5040,"),"
(,732-6178-1-ND,744316150,1.5µH,±20%,9A,9A,8.15mOhm,110MHz,5040,"),"
(,732-6183-1-ND,744316560,5.6µH,±20%,4.5A,4.6A,28.5mOhm,48MHz,5040,"),"
(,732-1135-1-ND,7443552280,2.8µH,±20%,9.5A,11A,10.6mOhm,46MHz,1040,"),"
(,732-1134-1-ND,7443552200,2µH,±20%,11A,13A,7.3mOhm,53MHz,1040,"),"
(,732-1133-1-ND,7443552150,1.5µH,±20%,14A,17A,5.3mOhm,63MHz,1040,"),"
(,732-4178-1-ND,7443552560,5.6µH,±20%,6.7A,7.5A,20.6mOhm,30MHz,1040,"),"
(,732-1124-1-ND,7443551130,1.3µH,±20%,25A,25A,1.8mOhm,59MHz,1365,"),"
(,732-1129-1-ND,7443551600,6µH,±20%,12A,14A,8.4mOhm,22MHz,1365,"),"
(,732-1126-1-ND,7443551280,2.8µH,±20%,20A,17.5A,3.3mOhm,35MHz,1365,"),"
(,732-1118-1-ND,7443550320,3.2µH,±20%,16A,15A,5.3mOhm,34MHz,1350,"),"
(,732-1156-1-ND,744314076,760nH,±20%,15.5A,15A,2.25mOhm,200MHz,7050,"),"
(,732-1161-1-ND,744314490,4.9µH,±20%,6.5A,6.5A,14.5mOhm,56MHz,7050,"),"
(,732-3876-1-ND,744323220,2.2µH,±20%,9A,15A,11.38mOhm,36MHz,1030,"),"
(,732-1166-1-ND,744325120,1.2µH,±20%,20A,25A,1.8mOhm,75MHz,1050,"),"
(,732-1167-1-ND,744325180,1.8µH,±20%,16A,18A,3.5mOhm,70MHz,1050,"),"
(,732-1165-1-ND,744325072,720nH,±20%,22A,35A,1.3mOhm,115MHz,1050,"),"
(,732-1170-1-ND,744325420,4.2µH,±20%,11A,14A,7.1mOhm,33MHz,1050,"),"
(,732-3864-1-ND,744313068,680nH,±20%,22A,40A,1.58mOhm,90MHz,1335,"),"
(,732-2166-1-ND,7443556082,820nH,±20%,41.5A,65A,0.54mOhm,85MHz,1890,"),"
(,732-2169-1-ND,7443556190,1.9µH,±20%,32.5A,52A,1.2mOhm,51MHz,1890,"),"
(,732-4236-1-ND,74435581200,12µH,±20%,19A,25A,4.3mOhm,13MHz,2212,"),"
(,732-7197-1-ND,74435580330,3.3µH,±20%,29A,45A,1.7mOhm,26.5MHz,2212,"),"
